2018-07-28 10:51:59 关键索引：Request  内容：参数：register
2018-07-28 11:45:29 关键索引：Request  内容：参数：[]
2018-07-28 11:45:29 关键索引：Request  内容：参数：getremindad
2018-07-28 11:45:29 关键索引：Request  内容：参数：{"lat":22.535389048532,"lng":113.96049959753}
2018-07-28 11:45:29 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:45:29 关键索引：Request  内容：参数："22.535389048532"
2018-07-28 11:45:29 关键索引：Request  内容：参数："113.96049959753"
2018-07-28 11:45:29 关键索引：Request  内容：参数：info
2018-07-28 11:45:29 关键索引：Request  内容：参数：{}
2018-07-28 11:45:29 关键索引：Request  内容：参数：[]
2018-07-28 11:45:34 关键索引：Request  内容：参数：info
2018-07-28 11:45:34 关键索引：Request  内容：参数：{}
2018-07-28 11:45:34 关键索引：Request  内容：参数：[]
2018-07-28 11:45:34 关键索引：Request  内容：参数：getremindad
2018-07-28 11:45:34 关键索引：Request  内容：参数：{"lat":22.535372972004,"lng":113.9605388385}
2018-07-28 11:45:34 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:45:34 关键索引：Request  内容：参数："22.535372972004"
2018-07-28 11:45:34 关键索引：Request  内容：参数："113.9605388385"
2018-07-28 11:45:34 关键索引：Request  内容：参数：info
2018-07-28 11:45:34 关键索引：Request  内容：参数：{}
2018-07-28 11:45:34 关键索引：Request  内容：参数：[]
2018-07-28 11:45:37 关键索引：Request  内容：参数：info
2018-07-28 11:45:37 关键索引：Request  内容：参数：{}
2018-07-28 11:45:37 关键索引：Request  内容：参数：[]
2018-07-28 11:45:37 关键索引：Request  内容：参数：getremindad
2018-07-28 11:45:37 关键索引：Request  内容：参数：{"lat":22.535372972004,"lng":113.9605388385}
2018-07-28 11:45:37 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:45:37 关键索引：Request  内容：参数："22.535372972004"
2018-07-28 11:45:37 关键索引：Request  内容：参数："113.9605388385"
2018-07-28 11:45:37 关键索引：Request  内容：参数：info
2018-07-28 11:45:37 关键索引：Request  内容：参数：{}
2018-07-28 11:45:37 关键索引：Request  内容：参数：[]
2018-07-28 11:45:39 关键索引：Request  内容：参数：ranking
2018-07-28 11:45:39 关键索引：Request  内容：参数：{}
2018-07-28 11:45:39 关键索引：Request  内容：参数：[]
2018-07-28 11:45:41 关键索引：Request  内容：参数：info
2018-07-28 11:45:41 关键索引：Request  内容：参数：{}
2018-07-28 11:45:41 关键索引：Request  内容：参数：[]
2018-07-28 11:45:41 关键索引：Request  内容：参数：info
2018-07-28 11:45:41 关键索引：Request  内容：参数：{}
2018-07-28 11:45:41 关键索引：Request  内容：参数：[]
2018-07-28 11:45:41 关键索引：Request  内容：参数：getremindad
2018-07-28 11:45:41 关键索引：Request  内容：参数：{"lat":22.535401939787,"lng":113.96057916099}
2018-07-28 11:45:41 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:45:41 关键索引：Request  内容：参数："22.535401939787"
2018-07-28 11:45:41 关键索引：Request  内容：参数："113.96057916099"
2018-07-28 11:45:42 关键索引：Request  内容：参数：ranking
2018-07-28 11:45:42 关键索引：Request  内容：参数：{}
2018-07-28 11:45:42 关键索引：Request  内容：参数：[]
2018-07-28 11:45:45 关键索引：Request  内容：参数：info
2018-07-28 11:45:45 关键索引：Request  内容：参数：{}
2018-07-28 11:45:45 关键索引：Request  内容：参数：[]
2018-07-28 11:45:45 关键索引：Request  内容：参数：getremindad
2018-07-28 11:45:45 关键索引：Request  内容：参数：{"lat":22.535366476548,"lng":113.96056265355}
2018-07-28 11:45:45 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:45:45 关键索引：Request  内容：参数："22.535366476548"
2018-07-28 11:45:45 关键索引：Request  内容：参数："113.96056265355"
2018-07-28 11:45:45 关键索引：Request  内容：参数：info
2018-07-28 11:45:45 关键索引：Request  内容：参数：{}
2018-07-28 11:45:45 关键索引：Request  内容：参数：[]
2018-07-28 11:46:16 关键索引：Request  内容：参数：info
2018-07-28 11:46:16 关键索引：Request  内容：参数：{}
2018-07-28 11:46:16 关键索引：Request  内容：参数：[]
2018-07-28 11:46:16 关键索引：Request  内容：参数：gettask
2018-07-28 11:46:16 关键索引：Request  内容：参数：{"mi":2000,"lng":113.96055236982,"lat":22.535367709244,"cityCode":340,"pageindex":1,"pagesize":15}
2018-07-28 11:46:16 关键索引：Request  内容：参数：{"pageindex":{"name":"pageindex","type":"int","default":1,"desc":"\u9875\u7801"},"pagesize":{"name":"pagesize","type":"int","default":15,"desc":"\u6bcf\u9875\u663e\u793a\u6570\u91cf"},"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"},"mi":{"name":"mi","require":true,"type":"string","default":0,"desc":"\u8ddd\u79bb\u5355\u4f4d\u7c73"},"cityCode":{"name":"cityCode","require":true,"type":"int","default":340,"desc":"\u57ce\u5e02\u4ee3\u7801"}}
2018-07-28 11:46:16 关键索引：Request  内容：参数：1
2018-07-28 11:46:16 关键索引：Request  内容：参数：15
2018-07-28 11:46:16 关键索引：Request  内容：参数："22.535367709244"
2018-07-28 11:46:16 关键索引：Request  内容：参数："113.96055236982"
2018-07-28 11:46:16 关键索引：Request  内容：参数："2000"
2018-07-28 11:46:16 关键索引：Request  内容：参数：340
2018-07-28 11:46:19 关键索引：Request  内容：参数：info
2018-07-28 11:46:19 关键索引：Request  内容：参数：{}
2018-07-28 11:46:19 关键索引：Request  内容：参数：[]
2018-07-28 11:46:19 关键索引：Request  内容：参数：getremindad
2018-07-28 11:46:19 关键索引：Request  内容：参数：{"lat":22.535367709244,"lng":113.96055236982}
2018-07-28 11:46:19 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:46:19 关键索引：Request  内容：参数："22.535367709244"
2018-07-28 11:46:19 关键索引：Request  内容：参数："113.96055236982"
2018-07-28 11:46:19 关键索引：Request  内容：参数：info
2018-07-28 11:46:19 关键索引：Request  内容：参数：{}
2018-07-28 11:46:19 关键索引：Request  内容：参数：[]
2018-07-28 11:46:20 关键索引：Request  内容：参数：info
2018-07-28 11:46:20 关键索引：Request  内容：参数：{}
2018-07-28 11:46:20 关键索引：Request  内容：参数：[]
2018-07-28 11:46:21 关键索引：Request  内容：参数：info
2018-07-28 11:46:21 关键索引：Request  内容：参数：{}
2018-07-28 11:46:21 关键索引：Request  内容：参数：[]
2018-07-28 11:46:23 关键索引：Request  内容：参数：useraccepttask
2018-07-28 11:46:23 关键索引：Request  内容：参数：{"orderNO":16,"tl_id":"30"}
2018-07-28 11:46:23 关键索引：Request  内容：参数：{"orderNO":{"name":"orderNO","type":"int","require":true,"desc":"\u4efb\u52a1\u7684\u552f\u4e00\u6807\u8bc6"},"tl_id":{"name":"tl_id","type":"int","require":true,"desc":"\u5730\u5740\u7684ID"}}
2018-07-28 11:46:23 关键索引：Request  内容：参数：16
2018-07-28 11:46:23 关键索引：Request  内容：参数：30
2018-07-28 11:46:23 关键索引：Request  内容：参数：info
2018-07-28 11:46:23 关键索引：Request  内容：参数：{}
2018-07-28 11:46:23 关键索引：Request  内容：参数：[]
2018-07-28 11:46:23 关键索引：Request  内容：参数：gettask
2018-07-28 11:46:23 关键索引：Request  内容：参数：{"mi":2000,"lng":113.96055236981,"lat":22.53536798051,"cityCode":340,"pageindex":1,"pagesize":15}
2018-07-28 11:46:23 关键索引：Request  内容：参数：{"pageindex":{"name":"pageindex","type":"int","default":1,"desc":"\u9875\u7801"},"pagesize":{"name":"pagesize","type":"int","default":15,"desc":"\u6bcf\u9875\u663e\u793a\u6570\u91cf"},"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"},"mi":{"name":"mi","require":true,"type":"string","default":0,"desc":"\u8ddd\u79bb\u5355\u4f4d\u7c73"},"cityCode":{"name":"cityCode","require":true,"type":"int","default":340,"desc":"\u57ce\u5e02\u4ee3\u7801"}}
2018-07-28 11:46:23 关键索引：Request  内容：参数：1
2018-07-28 11:46:23 关键索引：Request  内容：参数：15
2018-07-28 11:46:23 关键索引：Request  内容：参数："22.53536798051"
2018-07-28 11:46:23 关键索引：Request  内容：参数："113.96055236981"
2018-07-28 11:46:23 关键索引：Request  内容：参数："2000"
2018-07-28 11:46:23 关键索引：Request  内容：参数：340
2018-07-28 11:46:24 关键索引：Request  内容：参数：getmytask
2018-07-28 11:46:24 关键索引：Request  内容：参数：{"pagesize":50,"type":2,"pageindex":1}
2018-07-28 11:46:24 关键索引：Request  内容：参数：{"pageindex":{"name":"pageindex","type":"int","default":1,"desc":"\u9875\u7801"},"pagesize":{"name":"pagesize","type":"int","default":15,"desc":"\u6bcf\u9875\u663e\u793a\u6570\u91cf"},"type":{"name":"type","type":"int","default":1,"desc":"1 \u662f\u5b8c\u6210\u7684\u4efb\u52a1 2 \u662f\u8fdb\u884c\u4e2d\u7684\u4efb\u52a1"}}
2018-07-28 11:46:24 关键索引：Request  内容：参数：1
2018-07-28 11:46:24 关键索引：Request  内容：参数：50
2018-07-28 11:46:24 关键索引：Request  内容：参数：2
2018-07-28 11:46:24 关键索引：Request  内容：参数：info
2018-07-28 11:46:24 关键索引：Request  内容：参数：{}
2018-07-28 11:46:24 关键索引：Request  内容：参数：[]
2018-07-28 11:46:24 关键索引：Request  内容：参数：getremindad
2018-07-28 11:46:24 关键索引：Request  内容：参数：{"lat":22.53536798051,"lng":113.96055236981}
2018-07-28 11:46:24 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:46:24 关键索引：Request  内容：参数："22.53536798051"
2018-07-28 11:46:24 关键索引：Request  内容：参数："113.96055236981"
2018-07-28 11:46:24 关键索引：Request  内容：参数：info
2018-07-28 11:46:24 关键索引：Request  内容：参数：{}
2018-07-28 11:46:24 关键索引：Request  内容：参数：[]
2018-07-28 11:46:25 关键索引：Request  内容：参数：uncollection
2018-07-28 11:46:25 关键索引：Request  内容：参数：{"cityCode":340}
2018-07-28 11:46:25 关键索引：Request  内容：参数：{"cityCode":{"name":"cityCode","type":"int","default":340,"desc":"\u57ce\u5e02\u7684\u4ee3\u53f7"}}
2018-07-28 11:46:25 关键索引：Request  内容：参数：340
2018-07-28 11:46:43 关键索引：Request  内容：参数：info
2018-07-28 11:46:43 关键索引：Request  内容：参数：{}
2018-07-28 11:46:43 关键索引：Request  内容：参数：[]
2018-07-28 11:46:43 关键索引：Request  内容：参数：info
2018-07-28 11:46:43 关键索引：Request  内容：参数：{}
2018-07-28 11:46:43 关键索引：Request  内容：参数：[]
2018-07-28 11:46:43 关键索引：Request  内容：参数：getremindad
2018-07-28 11:46:43 关键索引：Request  内容：参数：{"lat":22.53536798051,"lng":113.96055236981}
2018-07-28 11:46:43 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:46:43 关键索引：Request  内容：参数："22.53536798051"
2018-07-28 11:46:43 关键索引：Request  内容：参数："113.96055236981"
2018-07-28 11:46:50 关键索引：Request  内容：参数：clickad
2018-07-28 11:46:50 关键索引：Request  内容：参数：{"starPoint":"0.6800","advertId":"4"}
2018-07-28 11:46:50 关键索引：Request  内容：参数：{"advertId":{"name":"advertId","type":"int","default":1,"desc":"\u5e7f\u544aID"},"starPoint":{"name":"starPoint","type":"float","default":1,"desc":"\u661f\u70b9\u6570"},"adStarPointType":{"name":"adStarPointType","type":"int","default":0,"desc":"\u6536\u53d6\u7684\u661f\u661f\u7c7b\u578b,\u6d4f\u89c8\u4e3a0 1\u4e3a\u70b9\u51fb"}}
2018-07-28 11:46:50 关键索引：Request  内容：参数：4
2018-07-28 11:46:50 关键索引：Request  内容：参数：0.68
2018-07-28 11:46:50 关键索引：Request  内容：参数：0
2018-07-28 11:46:53 关键索引：Request  内容：参数：info
2018-07-28 11:46:53 关键索引：Request  内容：参数：{}
2018-07-28 11:46:53 关键索引：Request  内容：参数：[]
2018-07-28 11:46:53 关键索引：Request  内容：参数：info
2018-07-28 11:46:53 关键索引：Request  内容：参数：{}
2018-07-28 11:46:53 关键索引：Request  内容：参数：[]
2018-07-28 11:46:53 关键索引：Request  内容：参数：getremindad
2018-07-28 11:46:53 关键索引：Request  内容：参数：{"lat":22.53536798051,"lng":113.96055236981}
2018-07-28 11:46:53 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:46:53 关键索引：Request  内容：参数："22.53536798051"
2018-07-28 11:46:53 关键索引：Request  内容：参数："113.96055236981"
2018-07-28 11:47:00 关键索引：Request  内容：参数：clickad
2018-07-28 11:47:00 关键索引：Request  内容：参数：{"starPoint":"4.1800","advertId":"8"}
2018-07-28 11:47:00 关键索引：Request  内容：参数：{"advertId":{"name":"advertId","type":"int","default":1,"desc":"\u5e7f\u544aID"},"starPoint":{"name":"starPoint","type":"float","default":1,"desc":"\u661f\u70b9\u6570"},"adStarPointType":{"name":"adStarPointType","type":"int","default":0,"desc":"\u6536\u53d6\u7684\u661f\u661f\u7c7b\u578b,\u6d4f\u89c8\u4e3a0 1\u4e3a\u70b9\u51fb"}}
2018-07-28 11:47:00 关键索引：Request  内容：参数：8
2018-07-28 11:47:00 关键索引：Request  内容：参数：4.18
2018-07-28 11:47:00 关键索引：Request  内容：参数：0
2018-07-28 11:47:02 关键索引：Request  内容：参数：info
2018-07-28 11:47:02 关键索引：Request  内容：参数：{}
2018-07-28 11:47:02 关键索引：Request  内容：参数：[]
2018-07-28 11:47:02 关键索引：Request  内容：参数：getremindad
2018-07-28 11:47:02 关键索引：Request  内容：参数：{"lat":22.53536798051,"lng":113.96055236981}
2018-07-28 11:47:02 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:47:02 关键索引：Request  内容：参数："22.53536798051"
2018-07-28 11:47:02 关键索引：Request  内容：参数："113.96055236981"
2018-07-28 11:47:02 关键索引：Request  内容：参数：info
2018-07-28 11:47:02 关键索引：Request  内容：参数：{}
2018-07-28 11:47:02 关键索引：Request  内容：参数：[]
2018-07-28 11:47:03 关键索引：Request  内容：参数：info
2018-07-28 11:47:03 关键索引：Request  内容：参数：{}
2018-07-28 11:47:03 关键索引：Request  内容：参数：[]
2018-07-28 11:47:05 关键索引：Request  内容：参数：info
2018-07-28 11:47:05 关键索引：Request  内容：参数：{}
2018-07-28 11:47:05 关键索引：Request  内容：参数：[]
2018-07-28 11:47:05 关键索引：Request  内容：参数：getwithdaylist
2018-07-28 11:47:05 关键索引：Request  内容：参数：{"days":30,"endTime":"1532749625433"}
2018-07-28 11:47:05 关键索引：Request  内容：参数：{"days":{"name":"days","require":true,"type":"int","desc":"\u7b2c\u51e0\u5929"},"endTime":{"name":"endTime","require":true,"type":"string","desc":"\u7ed3\u675f\u65f6\u95f4\uff0c\u610f\u601d\u5c31\u662f \u4ece\u7ed3\u675f\u65f6\u95f4\u5f00\u59cb \u8fd4\u56de\u4e4b\u524d\u51e0\u5929\u7684\u6570\u636e"}}
2018-07-28 11:47:05 关键索引：Request  内容：参数：30
2018-07-28 11:47:05 关键索引：Request  内容：参数："1532749625433"
2018-07-28 11:47:05 关键索引：Request  内容：参数：records
2018-07-28 11:47:05 关键索引：Request  内容：参数：{"pagesize":15,"pageindex":1}
2018-07-28 11:47:05 关键索引：Request  内容：参数：{"pageindex":{"name":"pageindex","type":"int","default":1,"desc":"\u9875\u7801"},"pagesize":{"name":"pagesize","type":"int","default":15,"desc":"\u6bcf\u9875\u663e\u793a\u6570\u91cf"}}
2018-07-28 11:47:05 关键索引：Request  内容：参数：1
2018-07-28 11:47:05 关键索引：Request  内容：参数：15
2018-07-28 11:47:06 关键索引：Request  内容：参数：info
2018-07-28 11:47:06 关键索引：Request  内容：参数：{}
2018-07-28 11:47:06 关键索引：Request  内容：参数：[]
2018-07-28 11:47:06 关键索引：Request  内容：参数：getusercenterstar
2018-07-28 11:47:06 关键索引：Request  内容：参数：{}
2018-07-28 11:47:06 关键索引：Request  内容：参数：[]
2018-07-28 11:47:06 关键索引：Request  内容：参数：getinvitation
2018-07-28 11:47:06 关键索引：Request  内容：参数：{}
2018-07-28 11:47:06 关键索引：Request  内容：参数：[]
2018-07-28 11:47:11 关键索引：Request  内容：参数：getstarmodulelist
2018-07-28 11:47:11 关键索引：Request  内容：参数：{}
2018-07-28 11:47:11 关键索引：Request  内容：参数：[]
2018-07-28 11:47:12 关键索引：Request  内容：参数：info
2018-07-28 11:47:12 关键索引：Request  内容：参数：{}
2018-07-28 11:47:12 关键索引：Request  内容：参数：[]
2018-07-28 11:47:12 关键索引：Request  内容：参数：getinvitation
2018-07-28 11:47:12 关键索引：Request  内容：参数：{}
2018-07-28 11:47:12 关键索引：Request  内容：参数：[]
2018-07-28 11:47:12 关键索引：Request  内容：参数：getusercenterstar
2018-07-28 11:47:12 关键索引：Request  内容：参数：{}
2018-07-28 11:47:12 关键索引：Request  内容：参数：[]
2018-07-28 11:47:15 关键索引：Request  内容：参数：getstarmodulelist
2018-07-28 11:47:15 关键索引：Request  内容：参数：{}
2018-07-28 11:47:15 关键索引：Request  内容：参数：[]
2018-07-28 11:47:16 关键索引：Request  内容：参数：info
2018-07-28 11:47:16 关键索引：Request  内容：参数：{}
2018-07-28 11:47:16 关键索引：Request  内容：参数：[]
2018-07-28 11:47:16 关键索引：Request  内容：参数：getinvitation
2018-07-28 11:47:16 关键索引：Request  内容：参数：{}
2018-07-28 11:47:16 关键索引：Request  内容：参数：[]
2018-07-28 11:47:16 关键索引：Request  内容：参数：getusercenterstar
2018-07-28 11:47:16 关键索引：Request  内容：参数：{}
2018-07-28 11:47:16 关键索引：Request  内容：参数：[]
2018-07-28 11:47:18 关键索引：Request  内容：参数：info
2018-07-28 11:47:18 关键索引：Request  内容：参数：{}
2018-07-28 11:47:18 关键索引：Request  内容：参数：[]
2018-07-28 11:47:18 关键索引：Request  内容：参数：getinvitation
2018-07-28 11:47:18 关键索引：Request  内容：参数：{}
2018-07-28 11:47:18 关键索引：Request  内容：参数：[]
2018-07-28 11:47:18 关键索引：Request  内容：参数：getusercenterstar
2018-07-28 11:47:18 关键索引：Request  内容：参数：{}
2018-07-28 11:47:18 关键索引：Request  内容：参数：[]
2018-07-28 11:47:19 关键索引：Request  内容：参数：info
2018-07-28 11:47:19 关键索引：Request  内容：参数：{}
2018-07-28 11:47:19 关键索引：Request  内容：参数：[]
2018-07-28 11:47:19 关键索引：Request  内容：参数：getinvitation
2018-07-28 11:47:19 关键索引：Request  内容：参数：{}
2018-07-28 11:47:19 关键索引：Request  内容：参数：[]
2018-07-28 11:47:19 关键索引：Request  内容：参数：getusercenterstar
2018-07-28 11:47:19 关键索引：Request  内容：参数：{}
2018-07-28 11:47:19 关键索引：Request  内容：参数：[]
2018-07-28 11:47:20 关键索引：Request  内容：参数：info
2018-07-28 11:47:20 关键索引：Request  内容：参数：{}
2018-07-28 11:47:20 关键索引：Request  内容：参数：[]
2018-07-28 11:47:20 关键索引：Request  内容：参数：getremindad
2018-07-28 11:47:20 关键索引：Request  内容：参数：{"lat":22.53536798051,"lng":113.96055236981}
2018-07-28 11:47:20 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:47:20 关键索引：Request  内容：参数："22.53536798051"
2018-07-28 11:47:20 关键索引：Request  内容：参数："113.96055236981"
2018-07-28 11:47:20 关键索引：Request  内容：参数：info
2018-07-28 11:47:20 关键索引：Request  内容：参数：{}
2018-07-28 11:47:20 关键索引：Request  内容：参数：[]
2018-07-28 11:47:21 关键索引：Request  内容：参数：ranking
2018-07-28 11:47:21 关键索引：Request  内容：参数：{}
2018-07-28 11:47:21 关键索引：Request  内容：参数：[]
2018-07-28 11:47:39 关键索引：Request  内容：参数：info
2018-07-28 11:47:39 关键索引：Request  内容：参数：{}
2018-07-28 11:47:39 关键索引：Request  内容：参数：[]
2018-07-28 11:47:39 关键索引：Request  内容：参数：getremindad
2018-07-28 11:47:39 关键索引：Request  内容：参数：{"lat":22.53536798051,"lng":113.96055236981}
2018-07-28 11:47:39 关键索引：Request  内容：参数：{"lat":{"name":"lat","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7eac\u5ea6"},"lng":{"name":"lng","require":true,"type":"string","default":0,"desc":"\u5f53\u524d\u7684\u7ecf\u5ea6"}}
2018-07-28 11:47:39 关键索引：Request  内容：参数："22.53536798051"
2018-07-28 11:47:39 关键索引：Request  内容：参数："113.96055236981"
2018-07-28 11:47:39 关键索引：Request  内容：参数：info
2018-07-28 11:47:39 关键索引：Request  内容：参数：{}
2018-07-28 11:47:39 关键索引：Request  内容：参数：[]
2018-07-28 11:48:00 关键索引：Request  内容：参数：info
2018-07-28 11:48:00 关键索引：Request  内容：参数：{}
2018-07-28 11:48:00 关键索引：Request  内容：参数：[]
2018-07-28 11:48:00 关键索引：Request  内容：参数：getwithdaylist
2018-07-28 11:48:00 关键索引：Request  内容：参数：{"days":30,"endTime":"1532749680110"}
2018-07-28 11:48:00 关键索引：Request  内容：参数：{"days":{"name":"days","require":true,"type":"int","desc":"\u7b2c\u51e0\u5929"},"endTime":{"name":"endTime","require":true,"type":"string","desc":"\u7ed3\u675f\u65f6\u95f4\uff0c\u610f\u601d\u5c31\u662f \u4ece\u7ed3\u675f\u65f6\u95f4\u5f00\u59cb \u8fd4\u56de\u4e4b\u524d\u51e0\u5929\u7684\u6570\u636e"}}
2018-07-28 11:48:00 关键索引：Request  内容：参数：30
2018-07-28 11:48:00 关键索引：Request  内容：参数："1532749680110"
2018-07-28 11:48:00 关键索引：Request  内容：参数：records
2018-07-28 11:48:00 关键索引：Request  内容：参数：{"pagesize":15,"pageindex":1}
2018-07-28 11:48:00 关键索引：Request  内容：参数：{"pageindex":{"name":"pageindex","type":"int","default":1,"desc":"\u9875\u7801"},"pagesize":{"name":"pagesize","type":"int","default":15,"desc":"\u6bcf\u9875\u663e\u793a\u6570\u91cf"}}
2018-07-28 11:48:00 关键索引：Request  内容：参数：1
2018-07-28 11:48:00 关键索引：Request  内容：参数：15
2018-07-28 11:48:09 关键索引：Request  内容：参数：records
2018-07-28 11:48:09 关键索引：Request  内容：参数：{"pagesize":15,"pageindex":2}
2018-07-28 11:48:09 关键索引：Request  内容：参数：{"pageindex":{"name":"pageindex","type":"int","default":1,"desc":"\u9875\u7801"},"pagesize":{"name":"pagesize","type":"int","default":15,"desc":"\u6bcf\u9875\u663e\u793a\u6570\u91cf"}}
2018-07-28 11:48:09 关键索引：Request  内容：参数：2
2018-07-28 11:48:09 关键索引：Request  内容：参数：15
2018-07-28 11:48:22 关键索引：Request  内容：参数：info
2018-07-28 11:48:22 关键索引：Request  内容：参数：{}
2018-07-28 11:48:22 关键索引：Request  内容：参数：[]
2018-07-28 11:48:22 关键索引：Request  内容：参数：getinvitation
2018-07-28 11:48:22 关键索引：Request  内容：参数：{}
2018-07-28 11:48:22 关键索引：Request  内容：参数：[]
2018-07-28 11:48:22 关键索引：Request  内容：参数：getusercenterstar
2018-07-28 11:48:22 关键索引：Request  内容：参数：{}
2018-07-28 11:48:22 关键索引：Request  内容：参数：[]
2018-07-28 11:48:30 关键索引：Request  内容：参数：info
2018-07-28 11:48:30 关键索引：Request  内容：参数：{}
2018-07-28 11:48:30 关键索引：Request  内容：参数：[]
2018-07-28 11:48:30 关键索引：Request  内容：参数：getinvitation
2018-07-28 11:48:30 关键索引：Request  内容：参数：{}
2018-07-28 11:48:30 关键索引：Request  内容：参数：[]
2018-07-28 11:48:30 关键索引：Request  内容：参数：getusercenterstar
2018-07-28 11:48:30 关键索引：Request  内容：参数：{}
2018-07-28 11:48:30 关键索引：Request  内容：参数：[]
2018-07-28 11:49:22 关键索引：Request  内容：参数：info
2018-07-28 11:49:22 关键索引：Request  内容：参数：{}
2018-07-28 11:49:22 关键索引：Request  内容：参数：[]
2018-07-28 11:49:22 关键索引：Request  内容：参数：getinvitation
2018-07-28 11:49:22 关键索引：Request  内容：参数：{}
2018-07-28 11:49:22 关键索引：Request  内容：参数：[]
2018-07-28 11:49:22 关键索引：Request  内容：参数：getusercenterstar
2018-07-28 11:49:22 关键索引：Request  内容：参数：{}
2018-07-28 11:49:22 关键索引：Request  内容：参数：[]
2018-07-28 11:49:37 关键索引：Request  内容：参数：info
2018-07-28 11:49:37 关键索引：Request  内容：参数：{}
2018-07-28 11:49:37 关键索引：Request  内容：参数：[]
2018-07-28 11:49:38 关键索引：Request  内容：参数：getinvitation
2018-07-28 11:49:38 关键索引：Request  内容：参数：{}
2018-07-28 11:49:38 关键索引：Request  内容：参数：[]
2018-07-28 11:49:38 关键索引：Request  内容：参数：getusercenterstar
2018-07-28 11:49:38 关键索引：Request  内容：参数：{}
2018-07-28 11:49:38 关键索引：Request  内容：参数：[]
2018-07-28 11:50:05 关键索引：Request  内容：参数：info
2018-07-28 11:50:05 关键索引：Request  内容：参数：{}
2018-07-28 11:50:05 关键索引：Request  内容：参数：[]
2018-07-28 11:50:05 关键索引：Request  内容：参数：getinvitation
2018-07-28 11:50:05 关键索引：Request  内容：参数：{}
2018-07-28 11:50:05 关键索引：Request  内容：参数：[]
2018-07-28 11:50:05 关键索引：Request  内容：参数：getusercenterstar
2018-07-28 11:50:05 关键索引：Request  内容：参数：{}
